STAR	REF
WD 2359-324	2014A&A...566A..34K
HE0416-1034	2014A&A...566A..34K
HE0418-1021	2014A&A...566A..34K
WD 0421+162	2014A&A...566A..34K
WD 0431+126	2014A&A...566A..34K
HE0452-3444	2014A&A...566A..34K
HS0507+0434A	2014A&A...566A..34K
WD 0710+741	2014A&A...566A..34K
WD 0843+516	2014A&A...566A..34K
WD 0854+404	2014A&A...566A..34K
WD 0920+363	2014A&A...566A..34K
 WD 1049-158	2014A&A...566A..34K
 WD 1052+273	2014A&A...566A..34K
 WD 1058-129	2014A&A...566A..34K
 WD 1102+748	2014A&A...566A..34K
 WD 1104+602	2014A&A...566A..34K
 WD 1129+155	2014A&A...566A..34K
 WD 1133+293	2014A&A...566A..34K
 SDSS1228+1040	2014A&A...566A..34K
 WD 1229-013	2014A&A...566A..34K
 WD 1230-308	2014A&A...566A..34K
 HS1243+0132	2014A&A...566A..34K
 WD 1257+048	2014A&A...566A..34K
 WD 1310-305	2014A&A...566A..34K
 WD 1325+279	2014A&A...566A..34K
 WD 1325-089	2014A&A...566A..34K
 WD 1330+473	2014A&A...566A..34K
 WD 1353+409	2014A&A...566A..34K
WD 1408+323	2014A&A...566A..34K
 WD 1049+103	2014A&A...566A..34K
 WD 1038+633	2014A&A...566A..34K
 WD 1034+492	2014A&A...566A..34K
 WD 1017+125	2014A&A...566A..34K
WD 0933+025	2014A&A...566A..34K
 WD 1015+161	2014A&A...566A..34K
 WD 1013+256	2014A&A...566A..34K
 WD 1005+642	2014A&A...566A..34K
 WD 0954+697	2014A&A...566A..34K
HS0944+1913	2014A&A...566A..34K
 WD 0947+325	2014A&A...566A..34K
