# JD	Flux	Error
2.457127664224537089e+06 1.037659614812880937e+00 1.487867164034028036e-02
2.457127664340277668e+06 1.064167877066879653e+00 1.544347124040330345e-02
2.457127664456018712e+06 1.077882806687278761e+00 1.624179225028852397e-02
2.457127664571759291e+06 1.018612064032755171e+00 1.491300850485223831e-02
2.457127664687499870e+06 1.019792177813637180e+00 1.522548702168098969e-02
2.457127664803240914e+06 9.596691109395237840e-01 1.453510159538151832e-02
2.457127664918981493e+06 9.967822139898152578e-01 1.474136951734909308e-02
2.457127665034722071e+06 1.013492069895105319e+00 1.491313245027067573e-02
2.457127665150463115e+06 9.304126436242434739e-01 1.364822598754433618e-02
2.457127665266203694e+06 9.973839626951300774e-01 1.489855632569744674e-02
2.457127665381944273e+06 1.007074235473452317e+00 1.517244547453419634e-02
2.457127665497685317e+06 9.567365748642515655e-01 1.428638781569247125e-02
2.457127665613425896e+06 9.040462740234825878e-01 1.336631805876338508e-02
2.457127665729166474e+06 1.080366717359370732e+00 1.591184927774150215e-02
2.457127665844907518e+06 1.085154733405077065e+00 1.575277556917883612e-02
2.457127665960648097e+06 1.020103515512585934e+00 1.530088621286923058e-02
2.457127666076388676e+06 1.015984047998983231e+00 1.491570625994211724e-02
2.457127666192129720e+06 9.846833312048457465e-01 1.446862521486132029e-02
2.457127666307870299e+06 9.297470700351001538e-01 1.382671819435669740e-02
2.457127666423611343e+06 9.433573698525529183e-01 1.405897721861403514e-02
2.457127666539351922e+06 9.192826675921071944e-01 1.391090157384853969e-02
2.457127666655092500e+06 9.615492716736394607e-01 1.481680962647558691e-02
2.457127666770833544e+06 1.045296326499518091e+00 1.591880316990213276e-02
2.457127666886574123e+06 1.048528665852058506e+00 1.603883952971121504e-02
2.457127667002314702e+06 8.816381799150415643e-01 1.318444957083809294e-02
2.457127667118055746e+06 1.025064594518913186e+00 1.554051725469566755e-02
2.457127667233796325e+06 1.068890125301992455e+00 1.588884850979178226e-02
2.457127667349536903e+06 9.464751214103171995e-01 1.402367171493301354e-02
2.457127667465277947e+06 9.271002765827575098e-01 1.406301846809101565e-02
2.457127667581018526e+06 1.069035297466610634e+00 1.599801468458696835e-02
2.457127667696759105e+06 1.044013458786845927e+00 1.522350433280822250e-02
2.457127667812500149e+06 9.889502259497329195e-01 1.466906904794960248e-02
2.457127667928240728e+06 9.103456830402960609e-01 1.367911588920092854e-02
2.457127668043981306e+06 1.009884613176870172e+00 1.501444391235187518e-02
2.457127668159722351e+06 1.017772153586856021e+00 1.522401831366558371e-02
2.457127668275462929e+06 1.061727310062826168e+00 1.583336379843381173e-02
2.457127668391203508e+06 1.006128455361342544e+00 1.481942792017051751e-02
2.457127668506944552e+06 9.735691295654113064e-01 1.448805231397005087e-02
2.457127668622685131e+06 9.512435096501165033e-01 1.403792034634565242e-02
2.457127668738425709e+06 9.595221545790956208e-01 1.448866061385092191e-02
2.457127668854166754e+06 9.352863297206658322e-01 1.386927771438560379e-02
2.457127668969907332e+06 1.098122618633630143e+00 1.612027271087045424e-02
2.457127669085648376e+06 1.037872015711577722e+00 1.521160079552871802e-02
2.457127669201388955e+06 9.502786567310662624e-01 1.389819662435633554e-02
2.457127669317129534e+06 9.296291079474284791e-01 1.434027787243798840e-02
2.457127669432870578e+06 1.082331147195415122e+00 1.583527698620149429e-02
2.457127669548611157e+06 1.020226819197956214e+00 1.521305115916307509e-02
2.457127669664351735e+06 1.002384209963048889e+00 1.519450601215636618e-02
2.457127669780092780e+06 1.085462779053383509e+00 1.569052760692697321e-02
2.457127669895833358e+06 9.786140678339336763e-01 1.473040684393136894e-02
2.457127670011573937e+06 9.806984106351974706e-01 1.456816994526102631e-02
2.457127670127314981e+06 9.661607015899130735e-01 1.482566658181852515e-02
2.457127670243055560e+06 9.651901579601556147e-01 1.441628229078196870e-02
2.457127670358796138e+06 9.560827760443415535e-01 1.450600640769369662e-02
2.457127670474537183e+06 8.835547421107473598e-01 1.387419643818021443e-02
2.457127670590277761e+06 9.941398775246838015e-01 1.547567683953642893e-02
2.457127670706018340e+06 9.170003751438396966e-01 1.374856090458538918e-02
2.457127670821759384e+06 1.055440947144569819e+00 1.600297091664897725e-02
2.457127670937499963e+06 9.448725870819110195e-01 1.381462631677614697e-02
2.457127671053240541e+06 1.074268514386168993e+00 1.603016495084267495e-02
2.457127671168981586e+06 9.853711233952174853e-01 1.507839138238188312e-02
2.457127671284722164e+06 9.867960384083832581e-01 1.524034711313827090e-02
2.457127671400462743e+06 9.829063888580155117e-01 1.480485031791442183e-02
2.457127671516203787e+06 9.907303132690370440e-01 1.486459884129359525e-02
2.457127671631944366e+06 1.030545419691294429e+00 1.524242144718187045e-02
2.457127671747685410e+06 9.987381564972016568e-01 1.530710157920840524e-02
2.457127671863425989e+06 9.630900806099580436e-01 1.486025893535478440e-02
2.457127671979166567e+06 1.001318373320450927e+00 1.555632721046228302e-02
2.457127672094907612e+06 9.272604134506482465e-01 1.488119677872807960e-02
2.457127672210648190e+06 1.010578342007151686e+00 1.665575716637528875e-02
2.457127672326388769e+06 1.047859287106207349e+00 1.630382774210842670e-02
2.457127672442129813e+06 9.498881559139624731e-01 1.481290826818111063e-02
2.457127672557870392e+06 9.940517333682107326e-01 1.503444785164331082e-02
2.457127672673610970e+06 1.049852998620427691e+00 1.618717147180662522e-02
2.457127672789352015e+06 1.065235606157902915e+00 1.629617904731863950e-02
2.457127672905092593e+06 9.247970758497283672e-01 1.483231165521280322e-02
2.457127673020833172e+06 1.016580634600522615e+00 1.615267372423881409e-02
2.457127673136574216e+06 1.026870567000390810e+00 1.578123382247092685e-02
2.457127673252314795e+06 9.894225858294690701e-01 1.549560861185916329e-02
2.457127673368055373e+06 9.514100300731904714e-01 1.449453327522316586e-02
2.457127673483796418e+06 9.992992620015396232e-01 1.570366931053012588e-02
2.457127673599536996e+06 1.058185539754479043e+00 1.608011666978212753e-02
2.457127673715277575e+06 1.085439632095386742e+00 1.604443182602955167e-02
2.457127673831018619e+06 1.003096897107976559e+00 1.541027018527603258e-02
2.457127673946759198e+06 9.991106795678448282e-01 1.478699041483632834e-02
2.457127674062499776e+06 9.210069397010431924e-01 1.399536389206962675e-02
2.457127674178240821e+06 9.624657192719877630e-01 1.415557633888472194e-02
2.457127674293981399e+06 9.653521757629893729e-01 1.420355147662929508e-02
2.457127674409722444e+06 9.625783976164448141e-01 1.442867885979860765e-02
2.457127674525463022e+06 1.048252590334753043e+00 1.610097783708820326e-02
2.457127674641203601e+06 1.114540623673514030e+00 1.642271301626413091e-02
2.457127674756944645e+06 1.072218377474326800e+00 1.589422014300583691e-02
2.457127674872685224e+06 1.027031351439635642e+00 1.534863526386539764e-02
2.457127674988425802e+06 1.053906055547259690e+00 1.530026514569803736e-02
2.457127675104166847e+06 1.027136536391844990e+00 1.526321733852943618e-02
2.457127675219907425e+06 9.591381540102172920e-01 1.411341741158390027e-02
2.457127675335648004e+06 1.045080768548504624e+00 1.545721485724292112e-02
2.457127675451389048e+06 9.117858033748196256e-01 1.371954299560244374e-02
2.457127675567129627e+06 1.035965439320042591e+00 1.532872830118690334e-02
2.457127675682870205e+06 9.885201370980246649e-01 1.498179006173842344e-02
2.457127675798611250e+06 9.762230235666680134e-01 1.468334085800988148e-02
2.457127675914351828e+06 1.112037036123252109e+00 1.626017366903140943e-02
2.457127676030092407e+06 9.797871042651540296e-01 1.478373335291218414e-02
2.457127676145833451e+06 8.893539184387687646e-01 1.333098426485666496e-02
2.457127676261574030e+06 1.002256103190322101e+00 1.494216931590341448e-02
2.457127676377314609e+06 1.009368839815240504e+00 1.552966919827755525e-02
2.457127676493055653e+06 1.103802128448282405e+00 1.625309155756569576e-02
2.457127676608796231e+06 1.009750198754161277e+00 1.501581064243542527e-02
2.457127676724536810e+06 1.013562955224085682e+00 1.504794869114384030e-02
2.457127676840277854e+06 1.027024503737559824e+00 1.483519955005139189e-02
2.457127676956018433e+06 1.095341671358792679e+00 1.569383123270053429e-02
2.457127677071759477e+06 9.735874707153641117e-01 1.429328169324052891e-02
2.457127677187500056e+06 1.014182125396453582e+00 1.537057664888961256e-02
2.457127677303240635e+06 1.100801528408698937e+00 1.593377059996284317e-02
2.457127677418981679e+06 1.044903012159402733e+00 1.521903279106323961e-02
2.457127677534722257e+06 9.926158934682725032e-01 1.506198893905419563e-02
2.457127677650462836e+06 1.155244675317243175e+00 1.669350041881414656e-02
2.457127677766203880e+06 9.893060137951813493e-01 1.452645834134954836e-02
2.457127677881944459e+06 1.062229709169281611e+00 1.577473711418417648e-02
2.457127677997685038e+06 8.738541613984001089e-01 1.314230412343982135e-02
2.457127678113426082e+06 8.892215236131864042e-01 1.325124259050354525e-02
2.457127678229166660e+06 1.017369042752229724e+00 1.455541633233747682e-02
2.457127678344907239e+06 1.017058954629691092e+00 1.506190716407321967e-02
2.457127678460648283e+06 1.019313636343504470e+00 1.496678077479675698e-02
2.457127678576388862e+06 1.215540159196992986e+00 1.764748891116196122e-02
2.457127678692129441e+06 9.447935693005278246e-01 1.434005077139080889e-02
2.457127678807870485e+06 1.001583154228806949e+00 1.473584607709183848e-02
2.457127678923611064e+06 9.601078867221388702e-01 1.430097170985419885e-02
2.457127679039351642e+06 1.082535386173584913e+00 1.615826947598758209e-02
2.457127679155092686e+06 1.085597967246757278e+00 1.552200576553677824e-02
2.457127679270833265e+06 9.892337223173486294e-01 1.493458540066323892e-02
2.457127679386573844e+06 1.004858180232088616e+00 1.500468868756244141e-02
2.457127679502314888e+06 1.017094046586420220e+00 1.524621011764571744e-02
2.457127679618055467e+06 9.987724131203711275e-01 1.473551810370400152e-02
2.457127679733796511e+06 1.091971290347742540e+00 1.600015824969423447e-02
2.457127679849537089e+06 9.646400883782332292e-01 1.470794279673727327e-02
2.457127679965277668e+06 1.064765772345541262e+00 1.583745597909237690e-02
2.457127680081018712e+06 1.091982551776836452e+00 1.600173681898725206e-02
2.457127680196759291e+06 1.024680676668453527e+00 1.558294230633015809e-02
2.457127680312499870e+06 1.073533796449426037e+00 1.615668044135767922e-02
2.457127680428240914e+06 9.520637200899557673e-01 1.423296139398624351e-02
2.457127680543981493e+06 9.214474301199746531e-01 1.391589536704328396e-02
2.457127680659722071e+06 9.737642892545024242e-01 1.434845995922831401e-02
2.457127680775463115e+06 9.228223194533652363e-01 1.423456920212811706e-02
2.457127680891203694e+06 9.617052020956176062e-01 1.468166632895069601e-02
2.457127681006944273e+06 9.158999170452369887e-01 1.369777980240703338e-02
2.457127681122685317e+06 1.104606270652622291e+00 1.633892825448550468e-02
2.457127681238425896e+06 1.080816144770452736e+00 1.611266867729486268e-02
2.457127681354166474e+06 9.293097282378693924e-01 1.404749765294737406e-02
2.457127681469907518e+06 9.339797363305309963e-01 1.496464843811269423e-02
2.457127681585648097e+06 9.007687792888935396e-01 1.402546654803921850e-02
2.457127681701388676e+06 1.017274803333571676e+00 1.485413319625456148e-02
2.457127681817129720e+06 1.004301201211928118e+00 1.474302981789314682e-02
2.457127681932870299e+06 1.063117332251579672e+00 1.549131380746069167e-02
2.457127682048611343e+06 9.758650817683420797e-01 1.425438137610265769e-02
2.457127682164351922e+06 9.473790864523747857e-01 1.443525608069077398e-02
2.457127682280092500e+06 1.035761010919202141e+00 1.532821497173736565e-02
2.457127682395833544e+06 1.114925973096600131e+00 1.642511216489666789e-02
2.457127682511574123e+06 9.934087450306230416e-01 1.493218946154648182e-02
2.457127682627314702e+06 1.073346689812929355e+00 1.549491633734817637e-02
2.457127682743055746e+06 9.497510882287392153e-01 1.390808539016199531e-02
2.457127682858796325e+06 9.759572044240375499e-01 1.494362102475364426e-02
2.457127682974536903e+06 1.088290156401909181e+00 1.661534065619628756e-02
2.457127683090277947e+06 9.695688916187658046e-01 1.559823783410731364e-02
2.457127683206018526e+06 1.024020132045977194e+00 1.630769868523962440e-02
2.457127683321759105e+06 1.147380457453447189e+00 1.729638567061956081e-02
2.457127683437500149e+06 9.882241432140346227e-01 1.511261497502477610e-02
2.457127683553240728e+06 9.077506007811707578e-01 1.371998875308693376e-02
2.457127683668981306e+06 1.063839300663467435e+00 1.634039281543994346e-02
2.457127683784722351e+06 9.861762646716901726e-01 1.487760033495147405e-02
2.457127683900462929e+06 1.025462902329384640e+00 1.496324898190929883e-02
2.457127684016203508e+06 1.118503752215363356e+00 1.637731386093550096e-02
2.457127684131944552e+06 1.069948344174820543e+00 1.619444884404317928e-02
2.457127684247685131e+06 1.026203383903355748e+00 1.503001386091523152e-02
2.457127684363425709e+06 9.327764693568287857e-01 1.403975278702320612e-02
2.457127684479166754e+06 9.896590903205396694e-01 1.515826695152898244e-02
2.457127684594907332e+06 9.850090972176924753e-01 1.460901558110470379e-02
2.457127684710648376e+06 1.022563188909355603e+00 1.507480549989913959e-02
2.457127684826388955e+06 1.068578133127543905e+00 1.553479838501958810e-02
2.457127684942129534e+06 1.124940631833058369e+00 1.684341689255979338e-02
2.457127685057870578e+06 1.029294060755328921e+00 1.484127316886987499e-02
2.457127685173611157e+06 1.045312029975045354e+00 1.552642343821693596e-02
2.457127685289351735e+06 9.342989879338350345e-01 1.396246364668746014e-02
2.457127685405092780e+06 1.007359778516168092e+00 1.553865029297662147e-02
2.457127685520833358e+06 9.346365973433032881e-01 1.449844086532527630e-02
2.457127685636573937e+06 1.032379782637462551e+00 1.574866708951059777e-02
2.457127685752314981e+06 1.050637705864516658e+00 1.596417171906753044e-02
2.457127685868055560e+06 1.014731400474989220e+00 1.515505013511111651e-02
2.457127685983796138e+06 1.037104183104272215e+00 1.511941943360165137e-02
2.457127686099537183e+06 9.001969342979884159e-01 1.389565757358366890e-02
2.457127686215277761e+06 1.076400226024943008e+00 1.640521708063295142e-02
2.457127686331018340e+06 1.113278354433293371e+00 1.600940396231455634e-02
2.457127686446759384e+06 1.019012388325927665e+00 1.511687093724858010e-02
2.457127686562499963e+06 1.088263094060891945e+00 1.563646994791897255e-02
2.457127686678240541e+06 9.651909342736247899e-01 1.426690497628031913e-02
2.457127686793981586e+06 1.032951599754884375e+00 1.516289111727297037e-02
2.457127686909722164e+06 8.316182445319949545e-01 1.243021247254796555e-02
2.457127687025462743e+06 1.042255536144064632e+00 1.551322036868968586e-02
2.457127687141203787e+06 9.859555288193504463e-01 1.510554362665865978e-02
2.457127687256944366e+06 1.053559057447103431e+00 1.610812836275072810e-02
2.457127687372685410e+06 9.963481707683899957e-01 1.666693891185839008e-02
2.457127687488425989e+06 1.031060936020973040e+00 1.534293890867889122e-02
2.457127687604166567e+06 9.985517118320966778e-01 1.530547938103123291e-02
2.457127687719907612e+06 9.456954129573074130e-01 1.463215423247988048e-02
2.457127687835648190e+06 9.385981003631608255e-01 1.441536745709862469e-02
2.457127687951388769e+06 9.578935445811823657e-01 1.411089739070999285e-02
2.457127688067129813e+06 1.034109464949146018e+00 1.504064024032405675e-02
2.457127688182870392e+06 9.476697460999828904e-01 1.394621044705932240e-02
2.457127688298610970e+06 1.043356941183619213e+00 1.565204608057493493e-02
2.457127688414352015e+06 1.058399876904496439e+00 1.565511699134050985e-02
2.457127688530092593e+06 1.017403560958554554e+00 1.522967003845576879e-02
